"","F.halfmax","Northsea","Coas","W_Baltic","Faroe","NE_Arctic","Celtic","Iceland","Kat","W_Scotland","NGulf","GB","GM","3NO","3M","2J3KL","3Ps"
"221",2.2,0.252414755603696,0.220213972664762,0.11344577320137,0.168434152557758,0.216493504532935,0.314186807627258,0.226661548603177,0.121223513620714,0.190869216196966,0.0955230233376567,0.12474908396335,0.115320232327672,0.136974697739532,0.167333190449656,0.0988504106549719,0.150566145434393
"222",2.21,0.251656969837416,0.219458389201137,0.112896681772201,0.16781554266641,0.215763844671862,0.313333039010225,0.225941277397275,0.120718576219162,0.190211651450555,0.0951379422929306,0.124221974839899,0.114806677965355,0.13648145969585,0.166582426040934,0.0985049822405787,0.150056236231792
"223",2.22,0.250904194291837,0.218708068489703,0.112352207783503,0.167201584384017,0.21503937957227,0.312484487080853,0.225225848684475,0.120217804823587,0.189559025838022,0.0947560162807675,0.123699200409121,0.114297369442501,0.135992082511285,0.165837738935119,0.0981622679620669,0.149550122812396
"224",2.23,0.250156376171063,0.217962953836845,0.111812295708227,0.166592224300488,0.214320051663878,0.311641100676174,0.224515211371551,0.119721146871873,0.188911282474811,0.094377205619594,0.123180708117869,0.113792254952032,0.135506518945108,0.165099057605638,0.0978222344057996,0.149047760794721
"225",2.24,0.249413463434234,0.21722298937667,0.111276890891062,0.165987409824875,0.213605804240128,0.310802829329285,0.223809315102546,0.119228550680366,0.188268365367557,0.0940014713000994,0.122666446257427,0.113291283520588,0.135024722541671,0.164366311610861,0.0974848487170738,0.148549106504821
"226",2.25,0.248675404781947,0.216488120055834,0.11074593953155,0.165387089169683,0.212896581442017,0.309969623257556,0.223108110245291,0.118739965425878,0.187630219396919,0.0936287749710029,0.122156363946752,0.112794404991995,0.134546647614087,0.163639431574479,0.0971500785883542,0.148054116962093
"227",2.26,0.247942149642973,0.215758291618697,0.110219388667585,0.164791211335531,0.212192328242275,0.309141433351073,0.222411547878226,0.118255341128131,0.186996790300792,0.0932590789251808,0.121650411116106,0.112301570011107,0.134072249228312,0.162918349166281,0.0968178922478039,0.147562749865418
"228",2.27,0.247213648161257,0.215033450592806,0.109697186159299,0.164199726096175,0.211492990429901,0.308318211161319,0.221719579777506,0.117774628632615,0.186368024657902,0.092892346086143,0.121148538491074,0.111812730008045,0.133601483187625,0.162202997083326,0.0964882584481029,0.147074963579631
"229",2.28,0.246489851183201,0.21431354427469,0.109179280673309,0.163612583983853,0.210798514595037,0.307499908890069,0.221032158404398,0.11729777959387,0.185743869871762,0.092528539994849,0.120650697576949,0.111327837182784,0.133134306017483,0.161493309031495,0.0961611464555459,0.14659071712232
"230",2.29,0.245770710245213,0.213598520715965,0.108665621667326,0.163029736274979,0.210108848114173,0.306686479378525,0.220349236892942,0.116824746459153,0.18512427415499,0.0921676247968528,0.120156840643486,0.110846844490112,0.13267067495075,0.160789219707426,0.0958365260394115,0.146109970150934
"231",2.3,0.245056177561524,0.212888328709736,0.108156159375108,0.162451134976145,0.209423939135675,0.305877876096644,0.219670769037886,0.1163554824525,0.18450918651397,0.0918095652297682,0.119666920709995,0.110369705624935,0.132210547913286,0.160090664780802,0.0955143674615953,0.145632682950203
"232",2.31,0.244346206012266,0.212182917777299,0.107650844791761,0.161876732810447,0.208743736565628,0.305074053132699,0.218996709282888,0.115889941559171,0.183898556733861,0.0914543266110443,0.119180891530793,0.109896375007913,0.131753883509881,0.159397580877016,0.0951946414664979,0.145158816419841
"233",2.32,0.243640749131799,0.211482238155118,0.107149629659366,0.161306483204108,0.20806819005399,0.304274965183027,0.218327012708961,0.115428078510448,0.183292335363927,0.0911018748260425,0.11869870758098,0.109426807771438,0.131300641010535,0.158709905560169,0.0948773192711625,0.144688332062557
"234",2.33,0.242939761097284,0.210786240782086,0.106652466452925,0.160740340273404,0.207397249981039,0.303480567541992,0.217661635023175,0.114969848768809,0.182690473703201,0.0907521763164071,0.118220324042537,0.108960959745922,0.130850780337066,0.158027577316424,0.0945623725556537,0.144221191972327
"235",2.34,0.242243196717495,0.210094877287057,0.106159308366627,0.16017825881188,0.206730867444124,0.302690816092139,0.217000532547595,0.114515208513432,0.182092923786449,0.0904051980687203,0.117745696790755,0.108498787446408,0.130404262050038,0.157350535537686,0.0942497734536705,0.143757358822956
"236",2.35,0.241551011421872,0.209408099976645,0.105670109300418,0.159620194277849,0.206068994244684,0.301905667294538,0.216343662208465,0.114064114626053,0.18149963837046,0.0900609076034334,0.117274782380953,0.108040248059477,0.129961047336006,0.156678720505619,0.0939394945433878,0.143296795856892
"237",2.36,0.240863161249791,0.208725861823273,0.105184823846869,0.159066102782159,0.205411582875567,0.301125078179321,0.215690981525607,0.11361652467714,0.180910570920615,0.0897192729640673,0.116807538035514,0.10758529943046,0.129521097995057,0.156012073375977,0.0936315088385192,0.142839466874309
"238",2.37,0.240179602840067,0.208048116453484,0.104703407278331,0.158515941076243,0.204758586508598,0.300349006336401,0.215042448602061,0.1131723969124,0.180325675597762,0.0893802627066743,0.116343921631199,0.107133900050928,0.129084376428653,0.155350536163249,0.093325789779595,0.142385336222435
"239",2.38,0.239500293420667,0.207374818136491,0.104225815534378,0.157969666540414,0.204109958982431,0.299577409906368,0.21439802211393,0.112731690239587,0.179744907245373,0.0890438458895531,0.115883891686754,0.106686009046475,0.128650845627761,0.154694051725617,0.0930223112254499,0.141934368785129
"240",2.39,0.238825190798644,0.20670592177297,0.103752005209524,0.157427237172429,0.203465654790647,0.298810247571563,0.213757661300446,0.112294364215625,0.17916822137697,0.088709992063211,0.115427407350794,0.106241586164766,0.128220469161258,0.154042563750205,0.092721047444914,0.141486529972693
"241",2.4,0.238154253350268,0.206041382884083,0.103281933541207,0.156888611576292,0.202825629070113,0.298047478547322,0.213121325954241,0.111860379034015,0.178595574163837,0.088378671260566,0.114974428389954,0.105800591763858,0.127793211164614,0.153396016738632,0.092421973108701,0.141041785711916
"242",2.41,0.237487440011365,0.205381157600738,0.102815558398035,0.156353748951306,0.202189837589575,0.297289062573393,0.212488976411827,0.11142969551254,0.178026922422976,0.0880498539873822,0.114524915177302,0.105362986800779,0.127369036328834,0.152754355992842,0.0921250632814901,0.140600102436351
"243",2.42,0.236824710267853,0.204725202653061,0.102352838268292,0.155822609081357,0.201558236738508,0.296534959905507,0.211860573544263,0.111002275081248,0.177462223605344,0.087723511212932,0.114078828681019,0.104928732820357,0.126947909889661,0.152117527601223,0.0918302934141938,0.140161447076798
"244",2.43,0.236166024146472,0.204073475360093,0.101893732248683,0.155295152324426,0.200930783516182,0.29578513130712,0.211236078748027,0.1105780797707,0.17690143578432,0.0873996143608781,0.113636130453314,0.104497791944301,0.126529797617028,0.151485478424995,0.0915376393364076,0.139725787052016
